# Time, Detrended Flux
8.918295369842722721e+03,1.489298027028018723e-03
8.918295945414974994e+03,3.037659093734434990e-03
8.918296521104108251e+03,9.031651887385638844e-04
8.918297096677291847e+03,1.493134031629095304e-03
8.918297671555708803e+03,-1.282252214831691717e-03
8.918298253610431857e+03,-9.540358036626006566e-04
8.918298829183149792e+03,-3.499591944837621149e-03
8.918299404871817387e+03,-1.023321756341788458e-03
8.918299979750700004e+03,2.919470609380914183e-03
8.918300555323883600e+03,-6.693137534795612353e-04
8.918301130202300556e+03,3.238134272803616653e-03
8.918301705775018490e+03,-4.102918437689395681e-03
8.918302280653901107e+03,-2.613428205957779582e-03
8.918302856226619042e+03,1.293742115574758600e-03
8.918303432610053278e+03,1.608903205430944894e-03
8.918304009687788493e+03,2.807361002721275867e-05
