Sp_ID,2MASS_ID,gaia,RA_1,DEC_1,,
Sp0610-3346,06104503-3346226,2886691573123995520,92.6882503,-33.7728929,,
Sp0611+6818,06110330+6818333,1105505379196318080,92.7640802,68.3092292,,
Sp0611-5109,06112737-5109134,5549762268067194112,92.8643953,-51.153735,,
Sp0611+3325,06115582+3325383,3452063166545021824,92.9826922,33.4273118,,
Sp0614-2019,06141196-2019181,2941124270643891072,93.549918,-20.3217899,,
Sp0614+3833,06142970+3833415,956200977271782144,93.6238517,38.5615297,,
Sp0614+4536,06145280+4536556,962577285717437952,93.720066,45.6154407,,
Sp0615-0100,06154934-0100415,3121200807575320448,93.9556458,-1.011572,,
Sp0616-4557,06160532-4557080,5567054149998654848,94.022085,-45.9522473,,
Sp0616+5729,06163713+5729448,998487713438184832,94.1547588,57.4957882,,
Sp0619-5249,06193544-5249367,5500909385897323264,94.8978269,-52.8268765,,
Sp0621+1555,06214915+1555399,3369132776897491712,95.454762,15.9277427,,
Sp0622-2211,06221907-2211437,2936906161789886208,95.5795542,-22.1955559,,
Sp0622-1548,06223478-1548262,2944930573740707456,95.6449812,-15.8072403,,
Sp0623-6838,06231578-6838186,5279817796789375616,95.8161496,-68.6385024,,
Sp0623+2631,06231714+2631320,3432218798435750016,95.8214235,26.5255036,,
Sp0623+5137,06235243+5137023,971347127898766848,95.9694772,51.6173019,,
Sp0624+6626,06244172+6626309,1104317391237838464,96.1763034,66.4419754,,
Sp0624-4521,06244595-4521548,5556620540565785600,96.1913708,-45.3652025,,
Sp0625-1034,06251123-1034488,3001340395034929152,96.2968159,-10.5802718,,
